model,best_epoch,train_accuracy,val_accuracy,test_accuracy,test_macro_f1,test_mean_spike_rate,test_gate_mean,test_gate_active_ratio_0.5,runtime_seconds,parameters
baseline,38,0.6833333333,0.8,0.32,0.2505050505,0.1252164811,1.0,1.0,40.8298249,11253
gated,41,0.7166666667,0.8666666667,0.4,0.3670940171,0.1187772706,0.8192098856,1.0,44.3489652,11253
