epoch,lr,optimization_loss,train_accuracy,train_macro_f1,val_accuracy,val_macro_f1,val_gate_mean,val_spike_rate
1,0.001999229036240723,1.6373194058736165,0.2,0.06666666666666667,0.2,0.06666666666666667,0.8203903834025065,0.13423711558183035
2,0.001996917333733128,1.6255239645640056,0.21666666666666667,0.09714285714285714,0.2,0.06666666666666667,0.8205791910489401,0.12756100048621496
3,0.0019930684569549263,1.6272323429584503,0.2,0.06666666666666667,0.2,0.06666666666666667,0.8205938140551249,0.11650097618500392
4,0.0019876883405951376,1.6231494148572285,0.26666666666666666,0.14666666666666667,0.2,0.07058823529411765,0.8205716212590536,0.10500489175319672
5,0.0019807852804032302,1.6149589518706005,0.21666666666666667,0.1080225988700565,0.26666666666666666,0.175,0.8205214341481527,0.10617563873529434
6,0.0019723699203976763,1.6157797873020172,0.23333333333333334,0.11717171717171718,0.2,0.07058823529411765,0.8205471237500509,0.105881763001283
7,0.001962455236453647,1.604751576979955,0.21666666666666667,0.10695970695970695,0.2,0.08,0.820618212223053,0.10485388338565826
8,0.0019510565162951536,1.6105167369047801,0.4166666666666667,0.2984920634920635,0.4666666666666667,0.35,0.8205204208691915,0.1059798647960027
9,0.0019381913359224842,1.5955542425314586,0.45,0.3496296296296296,0.4666666666666667,0.3742857142857143,0.8205505212148031,0.10229221483071645
10,0.0019238795325112867,1.584929625193278,0.48333333333333334,0.46848279844897284,0.3333333333333333,0.22272727272727275,0.8205955624580383,0.10322017222642899
11,0.0019081431738250812,1.5753678381443024,0.3333333333333333,0.23250836120401336,0.3333333333333333,0.23500000000000001,0.8205175797144572,0.10626605153083801
12,0.0018910065241883678,1.581449141105016,0.35,0.2925229741019214,0.2,0.13333333333333333,0.820432702700297,0.10615098724762599
13,0.0018724960070727972,1.5725716451803844,0.48333333333333334,0.4594833690561244,0.4,0.34,0.820214847723643,0.10819431145985921
14,0.0018526401643540922,1.5645648340384166,0.4666666666666667,0.356,0.4666666666666667,0.38564102564102565,0.8200224041938782,0.1098296046257019
15,0.0018314696123025455,1.5453092753887177,0.36666666666666664,0.2896892655367232,0.3333333333333333,0.23500000000000001,0.8197659254074097,0.11030884087085724
