epoch,lr,optimization_loss,train_accuracy,train_macro_f1,val_accuracy,val_macro_f1,val_gate_mean,val_spike_rate
1,0.001999229036240723,1.6381118694941204,0.3,0.21404351087771945,0.4,0.26373626373626374,1.0,0.138790562748909
2,0.001996917333733128,1.617902398109436,0.2,0.06666666666666667,0.26666666666666666,0.17058823529411765,1.0,0.13590405881404877
3,0.0019930684569549263,1.6190305054187775,0.23333333333333334,0.1473006186964997,0.2,0.11428571428571428,1.0,0.13362337152163187
4,0.0019876883405951376,1.6189688742160797,0.26666666666666666,0.16575943810359967,0.3333333333333333,0.21333333333333332,1.0,0.13036499420801798
5,0.0019807852804032302,1.6104565262794495,0.26666666666666666,0.18516450648055832,0.26666666666666666,0.18,1.0,0.12416857481002808
6,0.0019723699203976763,1.6050240397453308,0.3,0.2111382113821138,0.3333333333333333,0.2,1.0,0.11917272706826527
7,0.001962455236453647,1.601185550292333,0.4666666666666667,0.4285306850012732,0.4,0.31111111111111106,1.0,0.12062401324510574
8,0.0019510565162951536,1.5983470678329468,0.45,0.3983276240667545,0.4666666666666667,0.41428571428571426,1.0,0.1217848112185796
9,0.0019381913359224842,1.6061495244503021,0.23333333333333334,0.11595141700404858,0.2,0.075,1.0,0.11776530742645264
10,0.0019238795325112867,1.5915085673332214,0.2833333333333333,0.20878464818763326,0.4,0.3190476190476191,1.0,0.11262976378202438
11,0.0019081431738250812,1.5898339251677196,0.4166666666666667,0.36971514242878556,0.3333333333333333,0.2742857142857143,1.0,0.11499204486608505
12,0.0018910065241883678,1.5653756062189739,0.38333333333333336,0.33255859950512834,0.4,0.3190476190476191,1.0,0.11327018092075984
13,0.0018724960070727972,1.5714545547962189,0.45,0.4056747638326586,0.4666666666666667,0.4133333333333333,1.0,0.1151769608259201
14,0.0018526401643540922,1.5762258569399517,0.5833333333333334,0.5738705738705738,0.5333333333333333,0.55,1.0,0.11524794747432072
15,0.0018314696123025455,1.5724841157595317,0.4,0.3402764976958525,0.26666666666666666,0.2015873015873016,1.0,0.11596318582693736
16,0.0018090169943749477,1.5399483640988667,0.5166666666666667,0.5188170426065162,0.4,0.36606060606060603,1.0,0.11709120869636536
17,0.001785316930880745,1.5485209822654724,0.5,0.44627609108159394,0.4666666666666667,0.4238095238095238,1.0,0.11752139031887054
18,0.0017604059656000312,1.5479876796404521,0.5,0.4591630591630591,0.6666666666666666,0.6819047619047618,1.0,0.11686514566342036
19,0.0017343225094356856,1.5325099527835846,0.5833333333333334,0.5806007326007326,0.6,0.5942857142857142,1.0,0.11360406130552292
20,0.0017071067811865474,1.5090485711892445,0.5833333333333334,0.5636190476190477,0.6,0.5999999999999999,1.0,0.11699241896470387
21,0.0016788007455329418,1.5251096089680989,0.5,0.5010256410256411,0.4666666666666667,0.4142857142857143,1.0,0.11810551832119624
22,0.0016494480483301838,1.525919924179713,0.38333333333333336,0.2806578947368421,0.3333333333333333,0.25367965367965367,1.0,0.12003762026627858
23,0.001619093949309834,1.503556251525879,0.4666666666666667,0.42883100608664515,0.4,0.3333333333333333,1.0,0.11722344656785329
24,0.0015877852522924731,1.5225969354311626,0.4666666666666667,0.4733483907396951,0.4,0.3333333333333333,1.0,0.11703424155712128
25,0.0015555702330196024,1.4923760493596394,0.6,0.6123675782212368,0.5333333333333333,0.5555555555555556,1.0,0.11959003160397212
26,0.0015224985647159489,1.5074651340643566,0.6,0.6078511430090378,0.6,0.6222222222222222,1.0,0.11656178285678227
27,0.0014886212414969551,1.4925488531589508,0.6166666666666667,0.6191803037004275,0.6666666666666666,0.6866666666666666,1.0,0.11681180198987325
28,0.001453990499739547,1.457346757253011,0.55,0.5540969612042435,0.4666666666666667,0.4533333333333333,1.0,0.11590395371119182
29,0.0014186597375374283,1.5144625703493755,0.6333333333333333,0.6319812156654262,0.6,0.5933333333333333,1.0,0.11829744279384613
30,0.00138268343236509,1.4976733426253002,0.6333333333333333,0.6327838827838829,0.7333333333333333,0.7366666666666667,1.0,0.11597562084595363
31,0.001346117057077493,1.4710607727368672,0.6666666666666666,0.6650702341137125,0.6,0.6019047619047618,1.0,0.11620845397313435
32,0.0013090169943749475,1.482075462738673,0.6166666666666667,0.6036642050759699,0.6,0.6019047619047619,1.0,0.11488309005896251
33,0.0012714404498650742,1.4774076541264851,0.6166666666666667,0.5957393483709272,0.5333333333333333,0.5447619047619047,1.0,0.11515187223752339
34,0.0012334453638559056,1.4424677689870198,0.5833333333333334,0.5562470862470862,0.4666666666666667,0.4542857142857143,1.0,0.11543331046899159
35,0.0011950903220161284,1.4893873433272045,0.65,0.6336111111111111,0.6,0.6247619047619049,1.0,0.11648198465506236
36,0.001156434465040231,1.5024930636088054,0.6833333333333333,0.6793457556935818,0.6666666666666666,0.6742857142857142,1.0,0.11525382349888484
37,0.0011175373974578377,1.4215755661328633,0.7166666666666667,0.7037587872730302,0.6666666666666666,0.6599999999999999,1.0,0.11441673835118611
